,Name,Link,Tier,Type,Location,Portfolio,# Investments
8212,Rashid Mayes,https://cryptorank.io/funds/rashid-mayes,N/A, Angel Investor,N/A,Blockfenders,1
8213,Rasool Rayani,https://cryptorank.io/funds/rasool-rayani,N/A, Angel Investor,N/A,Defined,1
8214,Rastko Kovacevic,https://cryptorank.io/funds/rastko-kovacevic,N/A, Angel Investor,United States,Karate Combat,1
8215,Ravi Iyer,https://cryptorank.io/funds/ravi-iyer,N/A, Angel Investor,India,Nume Crypto,1
8216,Ravi K. Chiruvolu,https://cryptorank.io/funds/ravi-chiruvolu,N/A, Angel Investor,N/A,Fantom Maker,1
8217,Raviraj Jain,https://cryptorank.io/funds/raviraj-jain,N/A, Angel Investor,United States,Alliance DAO,1
8218,Ravish Naresh,https://cryptorank.io/funds/ravish-naresh,N/A, Angel Investor,India,Glip,1
8219,Ray Alimurung,https://cryptorank.io/funds/ray-alimurung,N/A, Angel Investor,Philippines,Playdex,1
8220,Ray Rehito Hatoyama,https://cryptorank.io/funds/ray-rehito-hatoyama,N/A, Angel Investor,United States,IZUMO,1
8221,Raza Beig,https://cryptorank.io/funds/raza-beig,N/A, Angel Investor,UAE,Artfi,1
8222,Reade Seiff,https://cryptorank.io/funds/reade-seiff,N/A, Angel Investor,United States,Afterparty,1
8223,Rei Wang,https://cryptorank.io/funds/rei-wang,N/A, Angel Investor,N/A,Webacy,1
8224,Renaissance,https://cryptorank.io/funds/renaissance,N/A, Angel Investor,N/A,Alliance DAO,1
8225,Rene Lubov,https://cryptorank.io/funds/rene-lubov,N/A, Angel Investor,N/A,Entropy,1
8226,Rex Salisbury,https://cryptorank.io/funds/rex-salisbury,N/A, Angel Investor,United States,Conduit,1
8227,Rex Woodbury,https://cryptorank.io/funds/rex-woodbury,N/A, Angel Investor,United States,Mad Realities,1
8228,RFS (Regulatory Financial ...,https://cryptorank.io/funds/regulatory-fincancial,N/A,Corporation,N/A,ByzGen,1
8229,Riccardo Zacconi,https://cryptorank.io/funds/riccardo-zacconi,N/A, Angel Investor,Italy,Ready Player Me,1
8230,Richard Chen,https://cryptorank.io/funds/richard-chen,N/A, Angel Investor,N/A,Sloika,1
8231,Richard Craib,https://cryptorank.io/funds/richard-craib,N/A, Angel Investor,United States,Praxis Society,1
8232,Richard Entrup,https://cryptorank.io/funds/richard-entrup,N/A, Angel Investor,United States,ClubNFT,1
8233,Richard Jun,https://cryptorank.io/funds/richard-jun,N/A, Angel Investor,N/A,Ember Fund,1
8234,Richard Muirhead,https://cryptorank.io/funds/richard-muirhead,N/A, Angel Investor,United States,Orchid,1
8235,Richard Spanton Jr.,https://cryptorank.io/funds/richard-spanton,N/A, Angel Investor,N/A,ValuesCo,1
8236,Richard Yuen,https://cryptorank.io/funds/richard-yuen,N/A, Angel Investor,N/A,Leap Wallet,1
8237,Richmond Teo,https://cryptorank.io/funds/richmond-teo,N/A, Angel Investor,N/A,IQ Protocol,1
8238,Rick M,https://cryptorank.io/funds/rick-m,N/A, Angel Investor,N/A,Laevitas,1
8239,Rick Wagoner,https://cryptorank.io/funds/rick-wagoner,N/A, Angel Investor,N/A,DIMO,1
8240,Ricky Knox,https://cryptorank.io/funds/ricky-knox,N/A, Angel Investor,N/A,Sidekick,1
8241,Ricky Ow,https://cryptorank.io/funds/ricky-ow,N/A, Angel Investor,N/A,Avium,1
8242,Rico Mallozzi,https://cryptorank.io/funds/rico-mallozzi,N/A, Angel Investor,N/A,Alliance DAO,1
8243,Riivo Anton,https://cryptorank.io/funds/riivo-anton,N/A, Angel Investor,Estonia,NFTPort,1
8244,R.I.Rtti,https://cryptorank.io/funds/r-i-rtti,N/A, Angel Investor,N/A,JPG,1
8245,Rishi Khanna,https://cryptorank.io/funds/rishi-khanna,N/A, Angel Investor,N/A,Upstream,1
8246,Risto Siilasmaa,https://cryptorank.io/funds/risto-siilasmaa,N/A, Angel Investor,Finland,NFTPort,1
8247,Ritu Narayan,https://cryptorank.io/funds/ritu-narayan,N/A, Angel Investor,United States,JetLearn,1
8248,Riva Tez,https://cryptorank.io/funds/riva-tez,N/A, Angel Investor,United States,Praxis Society,1
8249,Riviera Capital,https://cryptorank.io/funds/riviera-capital,N/A,Venture,N/A,Void Protocol,1
8250,Riyad AD,https://cryptorank.io/funds/riyad-ad,N/A, Angel Investor,N/A,Tabi,1
8251,Robbie Bent,https://cryptorank.io/funds/robbie-bent,N/A, Angel Investor,N/A,Syndicate,1
8252,Robert Chen,https://cryptorank.io/funds/robert-chen,N/A, Angel Investor,N/A,Vest Exchange,1
8253,Robert Gaal,https://cryptorank.io/funds/robert-gaal,N/A, Angel Investor,N/A,Basement,1
8254,Robert Keenan,https://cryptorank.io/funds/robert-keenan,N/A, Angel Investor,N/A,Myco,1
8255,Robert Kirby,https://cryptorank.io/funds/robert-kirby,N/A, Angel Investor,N/A,Linius,1
8256,Robert Kovac,https://cryptorank.io/funds/robert-kovac,N/A, Angel Investor,N/A,The Football Club,1
8257,Roberto Talamas,https://cryptorank.io/funds/roberto-talamas,N/A, Angel Investor,N/A,Syndr Protocol,1
8258,Rob Hadick,https://cryptorank.io/funds/rob-hadick,N/A, Angel Investor,United States,Alliance DAO,1
8259,Rob Hanneman,https://cryptorank.io/funds/rob-hanneman,N/A, Angel Investor,N/A,Anmol Network,1
8260,Rob Hayes,https://cryptorank.io/funds/rob-hayes,N/A, Angel Investor,United States,Mad Realities,1
8261,Robin Bade,https://cryptorank.io/funds/robin-bade,N/A, Angel Investor,N/A,Coinrule,1
8262,Robin Song,https://cryptorank.io/funds/robinsong,N/A, Angel Investor,N/A,Rivermen,1
8263,Rob Murray,https://cryptorank.io/funds/rob-murray,N/A, Angel Investor,N/A,Coinjar,1
8264,Rob Salha,https://cryptorank.io/funds/rob-salha,N/A, Angel Investor,Australia,dHEDGE,1
8265,Rob Toews,https://cryptorank.io/funds/rob-toews,N/A, Angel Investor,N/A,Ceramic,1
8266,Rodolphe Barrere,https://cryptorank.io/funds/rodolphe-barrere,N/A, Angel Investor,Canada,Kinetix,1
8267,Rodrigo Benez,https://cryptorank.io/funds/rodrigo-benez,N/A, Angel Investor,Brazil,BRLA Digital,1
8268,Roger Ehrenberg,https://cryptorank.io/funds/roger-ehrenberg,N/A, Angel Investor,N/A,Hang,1
8269,Ro Gupta,https://cryptorank.io/funds/ro-gupta,N/A, Angel Investor,United States,DIMO,1
8270,Rohan Malhotra,https://cryptorank.io/funds/rohan-malhorta,N/A, Angel Investor,N/A,OneOneDay,1
8271,Rohan Vijay,https://cryptorank.io/funds/rohan-vijay,N/A, Angel Investor,N/A,DaoLens,1
8272,Rohit Goyal,https://cryptorank.io/funds/rohit-goyal,N/A, Angel Investor,N/A,Phi,1
8273,Rolf Hoefer,https://cryptorank.io/funds/rolf-hoefer,N/A, Angel Investor,N/A,Afropolitan,1
8274,Romain Afflelou,https://cryptorank.io/funds/romain-afflelou,N/A, Angel Investor,France,RLTY,1
8275,Romain Cochet,https://cryptorank.io/funds/romain-cochet,N/A, Angel Investor,France,Kinetix,1
8276,Roman Mead,https://cryptorank.io/funds/roman-mead,N/A, Angel Investor,N/A,Mara,1
8277,Roman Saini,https://cryptorank.io/funds/roman-saini,N/A, Angel Investor,India,NFTICALLY,1
8278,Romeen Sheth,https://cryptorank.io/funds/romeen-sheth,N/A, Angel Investor,United States,Coinshift,1
8279,Ronald Cohen,https://cryptorank.io/funds/ronald-cohen,N/A, Angel Investor,N/A,First Group,1
8280,Ronan Sandford,https://cryptorank.io/funds/ronan-sandford,N/A, Angel Investor,United Kingdom,Alliance DAO,1
8281,Roneil Rumburg,https://cryptorank.io/funds/roneil-rumburg,N/A, Angel Investor,N/A,Baseflow,1
8282,Ronnie Lott,https://cryptorank.io/funds/ronnie-lott,N/A, Angel Investor,N/A,Step,1
8283,Ronny Shibley,https://cryptorank.io/funds/ronny-shibley,N/A, Angel Investor,N/A,Pianity,1
8284,RookieXBT,https://cryptorank.io/funds/rookiexbt,N/A, Angel Investor,N/A,Karate Combat,1
8285,Rory Eakin,https://cryptorank.io/funds/rory-eakin,N/A, Angel Investor,United States,Jia,1
8286,Rosario Bifulco,https://cryptorank.io/funds/rosario-bifulco,N/A, Angel Investor,N/A,Reasoned Art,1
8287,Rosie Rios,https://cryptorank.io/funds/rosie-rios,N/A, Angel Investor,United States,Mogul,1
8288,Roth Martin,https://cryptorank.io/funds/roth-martin,N/A, Angel Investor,N/A,Novel,1
8289,Rouven Heck,https://cryptorank.io/funds/rouven-heck,N/A, Angel Investor,N/A,Aut Labs,1
8290,Rowan Trollope,https://cryptorank.io/funds/rRowan-trollope,N/A, Angel Investor,N/A,Bitwave,1
8291,Roxana Danila,https://cryptorank.io/funds/roxana-danila,N/A, Angel Investor,N/A,Tenderly,1
8292,Roy Avondet,https://cryptorank.io/funds/roy-avondet,N/A, Angel Investor,N/A,Indicio,1
8293,Roy Salame,https://cryptorank.io/funds/roy-salame,N/A, Angel Investor,N/A,BitOoda,1
8294,Roy Tuvey,https://cryptorank.io/funds/roy-tuvey,N/A, Angel Investor,United Kingdom,Helio,1
8295,Ruby Lu,https://cryptorank.io/funds/ruby-lu,N/A, Angel Investor,China,Sprout,1
8296,Rudy Cline-Thomas,https://cryptorank.io/funds/rudycline,N/A, Angel Investor,United States,Afterparty,1
8297,Rudy Kadoch,https://cryptorank.io/funds/rudy-kadoch,N/A, Angel Investor,N/A,Portals,1
8298,Rudy Lee,https://cryptorank.io/funds/rudy-lee,N/A, Angel Investor,N/A,prePO,1
8299,Ruigang Li,https://cryptorank.io/funds/ruigang-li,N/A, Angel Investor,N/A,ObEN,1
8300,Ruitao Su,https://cryptorank.io/funds/ruitao-su,N/A, Angel Investor,New Zealand,Talisman,1
8301,Rune Christensen,https://cryptorank.io/funds/rune-christensen,N/A, Angel Investor,N/A,Element Finance,1
8302,Rupert Barksfield,https://cryptorank.io/funds/rbarksfield,N/A, Angel Investor,United Kingdom,Altitude,1
8303,Russell Lynde,https://cryptorank.io/funds/russell-lynde,N/A, Angel Investor,N/A,Axie Infinity,1
8304,Russell Siegelman,https://cryptorank.io/funds/russell-siegelman,N/A, Angel Investor,N/A,Hivemapper,1
8305,Russell Stokes,https://cryptorank.io/funds/russell-stokes,N/A, Angel Investor,N/A,PLLAY,1
8306,Russell Westbrook,https://cryptorank.io/funds/russell-westbrook,N/A, Angel Investor,N/A,OP3N,1
8307,Rustam Gilfanov,https://cryptorank.io/funds/rustam-gilfanov,N/A, Angel Investor,N/A,Longenesis,1
8308,Rus Yusupov,https://cryptorank.io/funds/rus-yusupov,N/A, Angel Investor,United States,Internet Game,1
8309,Ryan Bubinski,https://cryptorank.io/funds/ryan-bubinski,N/A, Angel Investor,N/A,Medallion,1
8310,Ryan Carson,https://cryptorank.io/funds/ryan-carson,N/A, Angel Investor,United States,Ecosapiens,1
8311,Ryan Chow,https://cryptorank.io/funds/ryan-chow,N/A, Angel Investor,N/A,prePO,1
8312,Ryan Firpo,https://cryptorank.io/funds/ryan-firpo,N/A, Angel Investor,N/A,Heroic Story,1
8313,Ryan Harwood,https://cryptorank.io/funds/ryan-harwood,N/A, Angel Investor,N/A,Nifty League,1
8314,Ryan Junee,https://cryptorank.io/funds/ryan-junee,N/A, Angel Investor,N/A,Syndicate,1
8315,RyanLion,https://cryptorank.io/funds/ryanlion,N/A, Angel Investor,N/A,Retrograde,1
8316,Ryan Morris,https://cryptorank.io/funds/ryan-morris,N/A, Angel Investor,N/A,Fanhouse,1
8317,Ryan Pawell,https://cryptorank.io/funds/ryan-pawell,N/A, Angel Investor,N/A,Golden,1
8318,Ryan Phua,https://cryptorank.io/funds/ryan-phua,N/A, Angel Investor,Singapore,FIAT DAO,1
8319,Ryan Rabaglia,https://cryptorank.io/funds/ryan-rabaglia,N/A, Angel Investor,Singapore,Nansen,1
8320,Ryan Schinman,https://cryptorank.io/funds/ryan-schinman,N/A, Angel Investor,N/A,Hyperreal,1
8321,Ryan Shtirmer,https://cryptorank.io/funds/ryan-shtirmer,N/A, Angel Investor,N/A,EnterDAO,1
8322,Ryan Tedder,https://cryptorank.io/funds/ryan-tedder,N/A, Angel Investor,N/A,Sound.xyz,1
8323,Ryan Youngjoon Yi,https://cryptorank.io/funds/ryan-youngjoon-yi,N/A, Angel Investor,United States,Alliance DAO,1
8324,Ryan Zurrer,https://cryptorank.io/funds/ryan-zurrer,N/A, Angel Investor,Switzerland,prePO,1
8325,s3unha,https://cryptorank.io/funds/s3unha,N/A, Angel Investor,N/A,AO Labs,1
8326,Saad Rizvi,https://cryptorank.io/funds/saad-rizvi,N/A, Angel Investor,United States,Paper,1
8327,Saahil Goel,https://cryptorank.io/funds/saahil-goel,N/A, Angel Investor,India,Listed Fans,1
8328,Saalim Chowdhury,https://cryptorank.io/funds/saalim-chowdhury,N/A, Angel Investor,United Kingdom,Helio,1
8329,Sahil Dewan,https://cryptorank.io/funds/sahil-dewan,N/A, Angel Investor,N/A,Phi,1
8330,Sai Choy,https://cryptorank.io/funds/sai-choy,N/A, Angel Investor,N/A,dtcpay,1
8331,Sai Krishna V K,https://cryptorank.io/funds/sai-krishna-v-k,N/A, Angel Investor,N/A,Nume Crypto,1
8332,Salil Deshpande,https://cryptorank.io/funds/salil-deshpande,N/A, Angel Investor,N/A,Nuo,1
8333,Salil Pitroda,https://cryptorank.io/funds/salil-pitroda,N/A, Angel Investor,United States,Beluga,1
8334,Salvador Gala,https://cryptorank.io/funds/salvador-gala,N/A, Angel Investor,N/A,Hexagon Wireless,1
8335,Samantha Yap,https://cryptorank.io/funds/samantha-yap,N/A, Angel Investor,United Kingdom,Forefront,1
8336,Sam Evitt,https://cryptorank.io/funds/sam-evitt,N/A, Angel Investor,N/A,Laylo,1
8337,Sam Feldt,https://cryptorank.io/funds/sam-feldt,N/A, Angel Investor,Netherlands,Myco,1
8338,Sam Hallene,https://cryptorank.io/funds/sam-mallene,N/A, Angel Investor,N/A,Alliance DAO,1
8339,Sam Hart,https://cryptorank.io/funds/sam-hart,N/A, Angel Investor,N/A,Skip Protocol,1
8340,Sam Huber,https://cryptorank.io/funds/sam-huber,N/A, Angel Investor,United Kingdom,Footium,1
8341,Sam Kassoumeh,https://cryptorank.io/funds/sam-kassoumeh,N/A, Angel Investor,N/A,Upstream,1
8342,Sam Li,https://cryptorank.io/funds/sam-li,N/A, Angel Investor,United States,Stakes,1
8343,Sam McIngvale,https://cryptorank.io/funds/sam-mcIngvale,N/A, Angel Investor,N/A,Alliance DAO,1
8344,Samneet Chepal,https://cryptorank.io/funds/samneet-chepal,N/A, Angel Investor,N/A,Hubble Exchange,1
8345,Samson Mow,https://cryptorank.io/funds/samson-mow,N/A, Angel Investor,China,Hodl Hodl,1
8346,Sam Thapaliya,https://cryptorank.io/funds/sam-thapaliya,N/A, Angel Investor,United States,Cedro Finance,1
8347,Samuel Levinson,https://cryptorank.io/funds/samuel-levinson,N/A, Angel Investor,N/A,Flowcarbon,1
8348,Samuel Salisbury,https://cryptorank.io/funds/samuel-salisbury,N/A, Angel Investor,N/A,Mara,1
8349,Sam Vanderwaal,https://cryptorank.io/funds/sam-vanderwaal,N/A, Angel Investor,N/A,Bundlr Network,1
8350,Sam Wisnia,https://cryptorank.io/funds/sam-wisnia,N/A, Angel Investor,N/A,Flowdesk,1
8351,Sam Zappi,https://cryptorank.io/funds/sam-zappi,N/A, Angel Investor,N/A,Footium,1
8352,Sam Zou,https://cryptorank.io/funds/sam-zou,N/A, Angel Investor,New Zealand,Alliance DAO,1
8353,Sana Kibz,https://cryptorank.io/funds/sana-kibz,N/A, Angel Investor,N/A,Afropolitan,1
8354,Sanchay Mittal,https://cryptorank.io/funds/sanchay-mittal,N/A, Angel Investor,N/A,Phi,1
8355,Sandhya Patel,https://cryptorank.io/funds/sandhya-patel,N/A, Angel Investor,N/A,Strive,1
8356,Sando,https://cryptorank.io/funds/sando,N/A, Angel Investor,N/A,Magic,1
8357,Sandworm Capital,https://cryptorank.io/funds/sandworm-capital,N/A,Venture,N/A,Sealem Token,1
8358,Sanjay Mehta,https://cryptorank.io/funds/sanjay-mehta,N/A, Angel Investor,N/A,Nuo,1
8359,Sanjeev Barnwal,https://cryptorank.io/funds/sanjeev-barnwal,N/A, Angel Investor,India,AlmaBetter,1
8360,Sarah Tavel,https://cryptorank.io/funds/sarah-tavel,N/A, Angel Investor,United States,Alliance DAO,1
8361,Sarthak Jain,https://cryptorank.io/funds/sarthak-jain,N/A, Angel Investor,N/A,Altitude,1
8362,Sarthak Misra,https://cryptorank.io/funds/sarthak-misra,N/A, Angel Investor,India,Fanztar,1
8363,Sarutobi Sasuke,https://cryptorank.io/funds/sarutobi-sasuke,N/A, Angel Investor,N/A,IQ Protocol,1
8364,Sasha Fleyshman,https://cryptorank.io/funds/sfleyshman,N/A, Angel Investor,United States,Holograph,1
8365,Sathvik Vishwanath,https://cryptorank.io/funds/sathvik-vishwanath,N/A, Angel Investor,India,GoSats,1
8366,satsdart,https://cryptorank.io/funds/satsdart,N/A, Angel Investor,N/A,SIZE,1
8367,Saud Al Nowais,https://cryptorank.io/funds/saud-al,N/A, Angel Investor,N/A,Genies,1
8368,Saurabh Agarwal,https://cryptorank.io/funds/saurabh-agarwal,N/A, Angel Investor,India,Strive,1
8369,Saurabh Sharma,https://cryptorank.io/funds/saurabh-sharma,N/A, Angel Investor,N/A,Alliance DAO,1
8370,Scott Galloway,https://cryptorank.io/funds/scott-galloway,N/A, Angel Investor,United States,Public.com,1
8371,Scott (Genie),https://cryptorank.io/funds/scott-genie,N/A, Angel Investor,N/A,Yup,1
8372,Scott Littlewood,https://cryptorank.io/funds/scott-littlewood,N/A, Angel Investor,Singapore,Safle,1
8373,Scott Shenker,https://cryptorank.io/funds/scott-shenker,N/A, Angel Investor,United States,Certora,1
8374,Scott Sunarto,https://cryptorank.io/funds/scott-sunarto,N/A, Angel Investor,N/A,Polynomial Protocol,1
8375,Sean Cohan,https://cryptorank.io/funds/sean-cohan,N/A, Angel Investor,N/A,Collectibles,1
8376,Sean Li,https://cryptorank.io/funds/sean-li,N/A, Angel Investor,N/A,Ceramic,1
8377,Sean Neville,https://cryptorank.io/funds/sean-neville,N/A, Angel Investor,United States,AltLayer,1
8378,Sean Plaice,https://cryptorank.io/funds/sean-plaice,N/A, Angel Investor,N/A,TipTop,1
8379,Sean (Solme) Kim,https://cryptorank.io/funds/sean-kim,N/A, Angel Investor,N/A,StormX,1
8380,Sebastian Delgado,https://cryptorank.io/funds/sebastian-delgado,N/A, Angel Investor,N/A,Syndicate,1
8381,Sebastian Knutsson,https://cryptorank.io/funds/sebastian-knutsson,N/A, Angel Investor,Sweden,Ready Player Me,1
8382,Sebastian Zhou,https://cryptorank.io/funds/sebastian-zhou,N/A, Angel Investor,United States,Figure,1
8383,Sebastien Lalevee,https://cryptorank.io/funds/sebastien-lalevee,N/A, Angel Investor,N/A,METAV.RS,1
8384,Sebastien Lucas,https://cryptorank.io/funds/sebastien-lucas,N/A, Angel Investor,N/A,ACINQ,1
8385,seedphrase,https://cryptorank.io/funds/seedphrase,N/A, Angel Investor,N/A,Metalink,1
8386,Seedsyndicates,https://cryptorank.io/funds/seedsyndicates,N/A,Venture,N/A,Tutellus,1
8387,Sekip Can Gokalp,https://cryptorank.io/funds/sekip-can-gokalp,N/A, Angel Investor,N/A,Bitbond,1
8388,Selby Drummond,https://cryptorank.io/funds/selbydrummond,N/A, Angel Investor,N/A,Mad Realities,1
8389,Sempra Energy,https://cryptorank.io/funds/sempra-energy,N/A,Corporation,N/A,Energy Web Foundation,1
8390,Sentiment Capital,https://cryptorank.io/funds/sentiment-capital,N/A,Venture,N/A,Horizon Blockchain Games,1
8391,Serafin Lion Engel,https://cryptorank.io/funds/serafin-lion-engel,N/A, Angel Investor,N/A,Daylight,1
8392,Seref Beverli,https://cryptorank.io/funds/seref-beverli,N/A, Angel Investor,N/A,Float Capital,1
8393,Sergio Giavanni Kitchens,https://cryptorank.io/funds/sergio-giavanni-kitchens,N/A, Angel Investor,N/A,Yuga Labs,1
8394,Sergio Jimenez,https://cryptorank.io/funds/sergio-jimenez,N/A, Angel Investor,N/A,Pluang,1
8395,Sergio Oliveira,https://cryptorank.io/funds/sergio-oliveira,N/A, Angel Investor,N/A,RealFevr,1
8396,Serkan Toto,https://cryptorank.io/funds/serkan-toto,N/A, Angel Investor,N/A,Oh Baby Games,1
8397,Shaan Puri,https://cryptorank.io/funds/shaan-puri,N/A, Angel Investor,United States,Coinshift,1
8398,Shahar Abrams,https://cryptorank.io/funds/shahar-abrams,N/A, Angel Investor,N/A,DeFiSafety,1
8399,Shakil Khan,https://cryptorank.io/funds/shakil-khan,N/A, Angel Investor,N/A,BitPay,1
8400,Shan Aggrawal,https://cryptorank.io/funds/shan-aggrawal,N/A, Angel Investor,United States,Ecosapiens,1
8401,Shane Mac,https://cryptorank.io/funds/shane-mac,N/A, Angel Investor,United States,Laylo,1
8402,Shan Li,https://cryptorank.io/funds/shan-li,N/A, Angel Investor,N/A,Kinetix,1
8403,Shanna Tellerman,https://cryptorank.io/funds/shanna-tellerman,N/A, Angel Investor,N/A,Sintra,1
8404,Shanti Bergel,https://cryptorank.io/funds/shanti-bergel,N/A, Angel Investor,United States,Coinbase,1
8405,ShapeShiftDAO,https://cryptorank.io/funds/shapeshiftdao,N/A,DAO,United Kingdom,Silo Finance,1
8406,Sharan Nair,https://cryptorank.io/funds/sharan-nair,N/A, Angel Investor,India,GoSats,1
8407,Shari Glazer,https://cryptorank.io/funds/shari-glazer,N/A, Angel Investor,N/A,The Fabricant,1
8408,Shawn Shi,https://cryptorank.io/funds/shawn-shi,N/A, Angel Investor,N/A,MetaWeb Ventures,1
8409,Shawn Xu,https://cryptorank.io/funds/shawn-xu,N/A, Angel Investor,United States,Mad Realities,1
8410,Sheikh Hend Al Qassemi,https://cryptorank.io/funds/hend-al-qassemi,N/A, Angel Investor,N/A,Artfi,1
8411,Shervin Pishevar,https://cryptorank.io/funds/shervin-pishevar,N/A, Angel Investor,N/A,Alchemy,1
8412,Sherwin Gandhi,https://cryptorank.io/funds/sherwin-gandhi,N/A, Angel Investor,N/A,buildspace,1
8413,Sherwin Lee,https://cryptorank.io/funds/sherwin-lee,N/A, Angel Investor,Singapore,Silo Finance,1
8414,Shintaro Yamada,https://cryptorank.io/funds/shintaro-yamada,N/A, Angel Investor,Japan,IZUMO,1
8415,Shishir Mehrotra,https://cryptorank.io/funds/shishir-mehrotra,N/A, Angel Investor,N/A,Hike,1
8416,Shiva Singh Sangwan,https://cryptorank.io/funds/shivassangwan,N/A, Angel Investor,N/A,DaoLens,1
8417,Shiv Malik,https://cryptorank.io/funds/shiv-malik,N/A, Angel Investor,United Kingdom,Lumos Labs,1
8418,Shodipo Ayomide,https://cryptorank.io/funds/shodipo-ayomide,N/A, Angel Investor,N/A,Afropolitan,1
8419,Shohini Gupta,https://cryptorank.io/funds/shohini-gupta,N/A, Angel Investor,N/A,Mad Realities,1
8420,Shola Akinlade,https://cryptorank.io/funds/shola-akinlade,N/A, Angel Investor,N/A,Afropolitan,1
8421,Shop Your Way,https://cryptorank.io/funds/shop-yourway,N/A,Corporation,N/A,Unifimoney,1
